,NAME,DATE,PRCP,SNWD,TMAX
0,"PARIS MONTSOURIS, FR",2010-01-01,0.01,0.0,36.0
1,"PARIS MONTSOURIS, FR",2010-01-02,0.0,0.0,38.0
2,"PARIS MONTSOURIS, FR",2010-01-03,0.0,0.0,40.0
3,"PARIS MONTSOURIS, FR",2010-01-04,0.0,0.0,33.0
4,"PARIS MONTSOURIS, FR",2010-01-05,0.0,0.0,33.0
5,"PARIS MONTSOURIS, FR",2010-01-06,0.0,0.0,29.0
6,"PARIS MONTSOURIS, FR",2010-01-07,0.02,1.2,30.0
7,"PARIS MONTSOURIS, FR",2010-01-08,0.03,1.2,29.0
8,"PARIS MONTSOURIS, FR",2010-01-09,0.0,3.1,32.0
9,"PARIS MONTSOURIS, FR",2010-01-10,0.0,0.8,32.0
10,"PARIS MONTSOURIS, FR",2010-01-11,0.0,0.4,34.0
11,"PARIS MONTSOURIS, FR",2010-01-12,0.0,0.4,34.0
12,"PARIS MONTSOURIS, FR",2010-01-13,0.05,1.6,40.0
13,"PARIS MONTSOURIS, FR",2010-01-14,0.02,0.0,43.0
14,"PARIS MONTSOURIS, FR",2010-01-15,0.0,0.0,41.0
15,"PARIS MONTSOURIS, FR",2010-01-16,0.0,0.0,43.0
16,"PARIS MONTSOURIS, FR",2010-01-17,0.38,0.0,50.0
17,"PARIS MONTSOURIS, FR",2010-01-18,0.0,0.0,45.0
18,"PARIS MONTSOURIS, FR",2010-01-19,0.0,0.0,40.0
19,"PARIS MONTSOURIS, FR",2010-01-20,0.0,0.0,42.0
20,"PARIS MONTSOURIS, FR",2010-01-21,0.28,0.0,45.0
21,"PARIS MONTSOURIS, FR",2010-01-22,0.0,0.0,48.0
22,"PARIS MONTSOURIS, FR",2010-01-23,,0.0,45.0
23,"PARIS MONTSOURIS, FR",2010-01-24,0.02,0.0,44.0
24,"PARIS MONTSOURIS, FR",2010-01-25,0.0,0.0,45.0
25,"PARIS MONTSOURIS, FR",2010-01-26,0.0,0.0,41.0
26,"PARIS MONTSOURIS, FR",2010-01-27,0.0,0.0,36.0
27,"PARIS MONTSOURIS, FR",2010-01-28,0.0,0.0,44.0
28,"PARIS MONTSOURIS, FR",2010-01-29,0.02,0.0,45.0
29,"PARIS MONTSOURIS, FR",2010-01-30,0.23,0.0,41.0
30,"PARIS MONTSOURIS, FR",2010-01-31,0.0,0.0,40.0
31,"PARIS MONTSOURIS, FR",2010-02-01,,0.4,41.0
32,"PARIS MONTSOURIS, FR",2010-02-02,0.04,0.0,46.0
33,"PARIS MONTSOURIS, FR",2010-02-03,0.02,0.0,51.0
34,"PARIS MONTSOURIS, FR",2010-02-04,0.01,0.0,49.0
35,"PARIS MONTSOURIS, FR",2010-02-05,0.44,0.0,54.0
36,"PARIS MONTSOURIS, FR",2010-02-06,0.08,0.0,48.0
37,"PARIS MONTSOURIS, FR",2010-02-07,0.16,0.0,45.0
38,"PARIS MONTSOURIS, FR",2010-02-08,0.0,0.0,40.0
39,"PARIS MONTSOURIS, FR",2010-02-09,0.0,0.0,38.0
40,"PARIS MONTSOURIS, FR",2010-02-10,0.0,0.4,38.0
41,"PARIS MONTSOURIS, FR",2010-02-11,0.05,0.4,31.0
42,"PARIS MONTSOURIS, FR",2010-02-12,0.0,0.4,34.0
43,"PARIS MONTSOURIS, FR",2010-02-13,0.0,0.0,30.0
44,"PARIS MONTSOURIS, FR",2010-02-14,0.0,0.0,37.0
45,"PARIS MONTSOURIS, FR",2010-02-15,0.0,0.0,38.0
46,"PARIS MONTSOURIS, FR",2010-02-16,0.0,0.0,39.0
47,"PARIS MONTSOURIS, FR",2010-02-17,0.0,0.0,41.0
48,"PARIS MONTSOURIS, FR",2010-02-18,0.0,0.0,51.0
49,"PARIS MONTSOURIS, FR",2010-02-19,0.03,0.0,47.0
50,"PARIS MONTSOURIS, FR",2010-02-20,0.0,0.0,42.0
51,"PARIS MONTSOURIS, FR",2010-02-21,0.06,0.0,47.0
52,"PARIS MONTSOURIS, FR",2010-02-22,0.02,0.0,58.0
53,"PARIS MONTSOURIS, FR",2010-02-23,0.15,0.0,58.0
54,"PARIS MONTSOURIS, FR",2010-02-24,0.04,0.0,54.0
55,"PARIS MONTSOURIS, FR",2010-02-25,0.25,0.0,54.0
56,"PARIS MONTSOURIS, FR",2010-02-26,0.15,0.0,53.0
57,"PARIS MONTSOURIS, FR",2010-02-27,0.09,0.0,56.0
58,"PARIS MONTSOURIS, FR",2010-02-28,0.43,0.0,56.0
59,"PARIS MONTSOURIS, FR",2010-03-01,0.06,0.0,53.0
60,"PARIS MONTSOURIS, FR",2010-03-02,0.14,0.0,54.0
61,"PARIS MONTSOURIS, FR",2010-03-03,0.0,0.0,50.0
62,"PARIS MONTSOURIS, FR",2010-03-04,0.0,0.0,47.0
63,"PARIS MONTSOURIS, FR",2010-03-05,0.0,0.0,44.0
64,"PARIS MONTSOURIS, FR",2010-03-06,0.0,0.0,45.0
65,"PARIS MONTSOURIS, FR",2010-03-07,0.0,0.0,40.0
66,"PARIS MONTSOURIS, FR",2010-03-08,0.0,0.0,44.0
67,"PARIS MONTSOURIS, FR",2010-03-09,0.0,0.0,41.0
68,"PARIS MONTSOURIS, FR",2010-03-10,0.0,0.0,48.0
69,"PARIS MONTSOURIS, FR",2010-03-11,0.0,0.0,44.0
70,"PARIS MONTSOURIS, FR",2010-03-12,0.0,0.0,44.0
71,"PARIS MONTSOURIS, FR",2010-03-13,0.0,0.0,46.0
72,"PARIS MONTSOURIS, FR",2010-03-14,0.0,0.0,49.0
73,"PARIS MONTSOURIS, FR",2010-03-15,0.0,0.0,56.0
74,"PARIS MONTSOURIS, FR",2010-03-16,0.0,0.0,58.0
75,"PARIS MONTSOURIS, FR",2010-03-17,0.0,0.0,63.0
76,"PARIS MONTSOURIS, FR",2010-03-18,0.0,0.0,67.0
77,"PARIS MONTSOURIS, FR",2010-03-19,0.0,0.0,67.0
78,"PARIS MONTSOURIS, FR",2010-03-20,0.24,0.0,64.0
79,"PARIS MONTSOURIS, FR",2010-03-21,0.53,0.0,59.0
80,"PARIS MONTSOURIS, FR",2010-03-22,0.0,0.0,61.0
81,"PARIS MONTSOURIS, FR",2010-03-23,0.0,0.0,62.0
82,"PARIS MONTSOURIS, FR",2010-03-24,,0.0,67.0
83,"PARIS MONTSOURIS, FR",2010-03-25,0.0,0.0,66.0
84,"PARIS MONTSOURIS, FR",2010-03-26,0.21,0.0,56.0
85,"PARIS MONTSOURIS, FR",2010-03-27,0.09,0.0,56.0
86,"PARIS MONTSOURIS, FR",2010-03-28,0.02,0.0,57.0
87,"PARIS MONTSOURIS, FR",2010-03-29,0.07,0.0,65.0
88,"PARIS MONTSOURIS, FR",2010-03-30,0.27,0.0,57.0
89,"PARIS MONTSOURIS, FR",2010-03-31,0.13,0.0,53.0
90,"PARIS MONTSOURIS, FR",2010-04-01,0.03,0.0,54.0
91,"PARIS MONTSOURIS, FR",2010-04-02,0.0,0.0,53.0
92,"PARIS MONTSOURIS, FR",2010-04-03,0.23,0.0,53.0
93,"PARIS MONTSOURIS, FR",2010-04-04,0.0,0.0,54.0
94,"PARIS MONTSOURIS, FR",2010-04-05,0.0,0.0,57.0
95,"PARIS MONTSOURIS, FR",2010-04-06,0.0,0.0,68.0
96,"PARIS MONTSOURIS, FR",2010-04-07,0.0,0.0,64.0
97,"PARIS MONTSOURIS, FR",2010-04-08,0.04,0.0,56.0
98,"PARIS MONTSOURIS, FR",2010-04-09,0.0,0.0,64.0
99,"PARIS MONTSOURIS, FR",2010-04-10,0.0,0.0,63.0
100,"PARIS MONTSOURIS, FR",2010-04-11,0.0,0.0,57.0
