iu_ac,libelle,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,t_1h,q,k,etat_trafic,etat_barre
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 01:00:00,,0.61445,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 02:00:00,,0.74945,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 03:00:00,,0.46056,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 04:00:00,,0.27444,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 05:00:00,,0.41889,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 06:00:00,,0.59778,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 07:00:00,,1.35389,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 08:00:00,,5.17111,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 09:00:00,,11.5533,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 10:00:00,,6.32,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 11:00:00,,6.63223,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 12:00:00,,6.535,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 13:00:00,,7.27611,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 14:00:00,,5.54222,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 15:00:00,,5.595,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 16:00:00,,6.31056,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 17:00:00,,11.7256,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 18:00:00,,9.93833,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 19:00:00,,10.2517,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 20:00:00,,6.28444,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 21:00:00,,5.68056,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 22:00:00,,3.52611,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-19 23:00:00,,6.19556,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 00:00:00,,2.59445,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 01:00:00,,1.17778,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 02:00:00,,0.47278,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 03:00:00,,0.73445,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 04:00:00,,0.41722,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 05:00:00,,0.365,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 06:00:00,,0.83722,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 07:00:00,,1.66056,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 08:00:00,,5.16222,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 09:00:00,,16.1506,2,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 10:00:00,,7.98611,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 11:00:00,,8.11722,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 12:00:00,,8.83611,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 13:00:00,,7.93167,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 14:00:00,,5.59555,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 15:00:00,,7.08222,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 16:00:00,,8.12056,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 17:00:00,,14.16,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 18:00:00,,7.995,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 19:00:00,,7.555,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 20:00:00,,11.2589,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 21:00:00,,5.34834,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 22:00:00,,3.27556,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-20 23:00:00,,2.84778,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-21 00:00:00,,2.31611,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-21 01:00:00,,2.26445,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-21 02:00:00,,0.58111,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-21 03:00:00,,1.16833,1,3
5672,Convention,2973,Convention-Blomet,2937,Lecourbe-Convention,2017-01-21 04:00:00,,0.84056,1,3
