"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-01","0.01",",,S",,,"34","H,,S","36",",,S","32",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-02","0.00",",,S",,,"34","H,,S","38",",,S","30",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-03","0.00",",,S",,,"33","H,,S","40",",,S",,
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-04","0.00",",,S",,,"26","H,,S","33",",,S","21",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-05","0.00",",,S",,,"28","H,,S","33",",,S","25",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-06","0.00",",,S",,,"27","H,,S","29",",,S","26",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-07","0.02",",,S","1.2",",,S","27","H,,S","30",",,S",,
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-08","0.03",",,S","1.2",",,S","25","H,,S","29",",,S","22",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-09","0.00",",,S","3.1",",,S","29","H,,S",,,"26",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-10","0.00",",,S","0.8",",,S","31","H,,S","32",",,S","30",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-11","0.00",",,S","0.4",",,S","32","H,,S","34",",,S","31",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-12","0.00",",,S","0.4",",,S","32","H,,S","34",",,S",,
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-13","0.05",",,S","1.6",",,S","34","H,,S","40",",,S","29",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-14","0.02",",,S",,,"39","H,,S","43",",,S","36",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-15","0.00",",,S",,,"38","H,,S","41",",,S","33",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-16","0.00",",,S",,,"40","H,,S",,,"37",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-17","0.38",",,S",,,"46","H,,S","50",",,S",,
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-18","0.00",",,S",,,"40","H,,S","45",",,S",,
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-19","0.00",",,S",,,"35","H,,S","40",",,S","34",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-20","0.00",",,S",,,"37","H,,S",,,"32",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-21","0.28",",,S",,,"41","H,,S","45",",,S",,
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-22","0.00",",,S",,,"42","H,,S","48",",,S","38",",,S"
"FRM00007156","PARIS MONTSOURIS, FR","48.8217","2.3378","75.0","2010-01-23",,,,,"40","H,,S","45",",,S","38",",,S"
